student_id,teacher_id,hifz,muragaa,hijri_date,notes
3,1,0.0,112.0,01/12/1445,
3,1,0.0,5.0,05/12/1445,
3,1,0.0,10.0,06/12/1445,
3,1,0.0,5.0,07/12/1445,
3,1,0.0,0.0,08/12/1445,
3,1,0.0,5.0,09/12/1445,
3,1,0.0,0.0,10/12/1445,
3,1,0.0,3.0,14/12/1445,
3,1,0.0,0.0,15/12/1445,
3,1,0.0,0.0,16/12/1445,
3,1,0.0,0.0,17/12/1445,
3,1,0.0,0.0,18/12/1445,
3,1,0.0,0.0,19/12/1445,
3,1,0.0,30.0,20/12/1445,
3,1,0.0,5.0,21/12/1445,
3,1,0.0,14.0,22/12/1445,
3,1,0.0,7.0,23/12/1445,
3,1,0.0,1.0,25/12/1445,
3,1,0.0,11.0,26/12/1445,
3,1,0.0,6.0,27/12/1445,
3,1,0.0,10.0,28/12/1445,
3,1,0.0,0.0,31/12/1445,
4,1,1.0,92.0,01/12/1445,
4,1,0.0,0.0,05/12/1445,
4,1,1.0,0.0,06/12/1445,
4,1,0.0,0.0,08/12/1445,
4,1,0.0,0.0,09/12/1445,
4,1,0.0,0.0,14/12/1445,
4,1,0.0,0.0,15/12/1445,
4,1,0.0,16.0,17/12/1445,
4,1,0.0,0.0,19/12/1445,
4,1,0.0,12.0,21/12/1445,
4,1,0.0,27.0,22/12/1445,
4,1,0.0,0.0,23/12/1445,
4,1,0.0,10.0,24/12/1445,
4,1,0.0,8.0,25/12/1445,
4,1,0.0,7.0,27/12/1445,
4,1,0.0,12.0,28/12/1445,
4,1,0.0,0.0,31/12/1445,
8,1,9.0,233.0,01/12/1445,
8,1,0.0,3.0,05/12/1445,
8,1,0.0,0.0,06/12/1445,
8,1,4.0,0.0,07/12/1445,
8,1,1.0,0.0,08/12/1445,
8,1,0.0,8.0,09/12/1445,
8,1,0.0,0.0,10/12/1445,
8,1,4.0,0.0,14/12/1445,
8,1,0.0,0.0,15/12/1445,
8,1,0.0,0.0,16/12/1445,
8,1,0.0,18.0,17/12/1445,
8,1,0.0,20.0,18/12/1445,
8,1,0.0,0.0,19/12/1445,
8,1,0.0,8.0,20/12/1445,
8,1,0.0,16.0,21/12/1445,
8,1,0.0,20.0,22/12/1445,
8,1,0.0,20.0,23/12/1445,
8,1,0.0,7.0,24/12/1445,
8,1,0.0,11.0,25/12/1445,
8,1,0.0,12.0,26/12/1445,
8,1,0.0,10.0,27/12/1445,
8,1,0.0,60.0,28/12/1445,
8,1,0.0,20.0,29/12/1445,
8,1,0.0,0.0,30/12/1445,
8,1,0.0,0.0,31/12/1445,
9,1,0.0,88.0,01/12/1445,
9,1,0.0,2.0,05/12/1445,
9,1,0.0,2.0,06/12/1445,
9,1,0.0,1.0,07/12/1445,
9,1,0.0,4.0,08/12/1445,
9,1,0.0,3.0,09/12/1445,
9,1,0.0,0.0,10/12/1445,
9,1,0.0,11.0,14/12/1445,
9,1,0.0,0.0,15/12/1445,
9,1,0.0,0.0,16/12/1445,
9,1,0.0,5.0,17/12/1445,
9,1,0.0,5.0,18/12/1445,
9,1,0.0,0.0,19/12/1445,
9,1,0.0,3.0,20/12/1445,
9,1,0.0,5.0,21/12/1445,
9,1,0.0,5.0,22/12/1445,
9,1,0.0,8.0,23/12/1445,
9,1,0.0,6.0,24/12/1445,
9,1,0.0,5.0,25/12/1445,
9,1,0.0,1.0,26/12/1445,
9,1,0.0,5.0,27/12/1445,
9,1,0.0,8.0,28/12/1445,
9,1,0.0,7.0,29/12/1445,
9,1,0.0,2.0,30/12/1445,
9,1,0.0,0.0,31/12/1445,
5,1,0.0,0.0,01/12/1445,
12,1,0.5,54.0,01/12/1445,
12,1,0.0,1.0,05/12/1445,
12,1,0.0,3.0,06/12/1445,
12,1,0.0,1.0,07/12/1445,
12,1,0.0,0.0,08/12/1445,
12,1,0.5,0.0,09/12/1445,
12,1,0.0,0.0,10/12/1445,
12,1,0.0,7.0,21/12/1445,
12,1,0.0,4.0,22/12/1445,
12,1,0.0,9.0,23/12/1445,
12,1,0.0,6.0,24/12/1445,
12,1,0.0,3.0,25/12/1445,
12,1,0.0,2.0,26/12/1445,
12,1,0.0,4.0,28/12/1445,
12,1,0.0,10.0,29/12/1445,
12,1,0.0,4.0,30/12/1445,
12,1,0.0,0.0,31/12/1445,
17,1,2.0,190.0,01/12/1445,
17,1,0.0,4.0,05/12/1445,
17,1,0.0,2.0,06/12/1445,
17,1,1.0,0.0,07/12/1445,
17,1,1.0,0.0,08/12/1445,
17,1,0.0,8.0,09/12/1445,
17,1,0.0,0.0,10/12/1445,
17,1,0.0,12.0,14/12/1445,
17,1,0.0,0.0,15/12/1445,
17,1,0.0,0.0,16/12/1445,
17,1,0.0,20.0,17/12/1445,
17,1,0.0,12.0,18/12/1445,
17,1,0.0,0.0,19/12/1445,
17,1,0.0,12.0,20/12/1445,
17,1,0.0,7.0,21/12/1445,
17,1,0.0,16.0,22/12/1445,
17,1,0.0,17.0,23/12/1445,
