student_id,teacher_id,day,hifz,murajaah
5,-1,1,,0.0
5,-1,2,,0.0
5,-1,3,3.0,10.0
5,-1,4,,14.0
5,-1,5,,14.0
5,-1,6,,9.0
5,-1,7,,10.0
5,-1,8,,0.0
5,-1,9,1.0,4.0
5,-1,10,1.0,
5,-1,11,,6.0
5,-1,12,,0.0
5,-1,13,1.0,11.0
5,-1,14,,0.0
5,-1,15,1.0,
5,-1,16,1.0,
5,-1,17,,12.0
5,-1,18,,10.0
5,-1,19,1.0,12.0
5,-1,20,1.0,12.0
5,-1,21,1.0,11.0
5,-1,22,,0.0
5,-1,23,,0.0
5,-1,24,1.0,8.0
5,-1,26,,10.0
5,-1,27,,5.0
5,-1,28,,0.0
5,-1,29,0.5,10.0
5,-1,30,1.0,
25,-1,1,,0.0
25,-1,2,,0.0
25,-1,3,,1.0
25,-1,4,,5.0
25,-1,5,,0.0
25,-1,6,,3.0
25,-1,7,,1.0
25,-1,8,,0.0
25,-1,9,0.5,8.0
25,-1,10,0.5,
25,-1,11,,6.0
25,-1,12,,0.0
25,-1,13,0.5,
25,-1,14,,0.0
25,-1,15,,4.0
25,-1,16,,3.0
25,-1,17,,3.0
25,-1,18,,4.0
25,-1,19,,5.0
25,-1,20,,1.0
25,-1,22,,0.0
25,-1,23,,0.0
25,-1,24,,6.0
25,-1,25,0.5,
25,-1,26,0.5,
25,-1,27,,10.0
25,-1,28,,0.0
9,-1,1,,0.0
9,-1,2,,0.0
9,-1,3,1.0,2.0
9,-1,5,,0.0
9,-1,6,,3.0
9,-1,7,,4.0
9,-1,8,,0.0
9,-1,9,1.0,4.0
9,-1,10,1.0,
9,-1,11,1.0,
9,-1,12,,0.0
9,-1,13,,3.0
9,-1,14,,3.0
9,-1,16,,0.0
9,-1,19,,0.0
9,-1,20,,6.0
9,-1,21,,0.0
9,-1,22,,0.0
9,-1,23,,2.0
9,-1,24,,2.0
9,-1,25,,0.0
9,-1,26,0.5,10.0
9,-1,27,0.5,2.0
9,-1,28,,0.0
9,-1,29,1.0,
9,-1,30,1.0,
46,-1,1,,0.0
46,-1,2,,0.0
46,-1,5,,1.0
46,-1,6,,0.0
46,-1,8,,0.0
46,-1,9,0.5,4.0
46,-1,10,,0.0
46,-1,12,,0.0
46,-1,13,,0.0
46,-1,14,,0.0
46,-1,15,,3.0
46,-1,16,,5.0
46,-1,17,,0.0
46,-1,18,,0.0
46,-1,26,,5.0
46,-1,28,,0.0
47,-1,3,1.0,
